芳华‎ (2017), 黄轩 , 苗苗 , 钟楚曦 , 杨采钰 , 李晓峰 , 王天辰 , 王可如 , 隋源
天下无贼‎ (2004), 刘德华 , 刘若英 , 王宝强 , 李冰冰 , 葛优 , 张涵予 , 尤勇 , 徐帆
唐山大地震‎ (2010), 徐帆 , 张静初 , 李晨 , 陈道明 , 张子枫 , 张家骏 , 王子文 , 陈瑾
一九四二‎ (2012), 张国立 , 张默 , 徐帆 , 李雪健 , 陈道明 , 艾德里安·布洛迪 , 蒂姆·罗宾斯 , 冯远征
甲方乙方‎ (1997), 葛优 , 刘蓓 , 何冰 , 英达 , 徐帆 , 杨立新 , 李琦
非诚勿扰‎ (2008), 葛优 , 舒淇 , 范伟 , 徐若瑄 , 方中信 , 胡可 , 巩新亮 , 车晓
集结号‎ (2007), 张涵予 , 邓超 , 袁文康 , 汤嬿 , 廖凡 , 王宝强 , 胡军 , 任泉
大腕‎ (2001), 葛优 , 关之琳 , 英达 , 保罗·马祖斯基 , 唐纳德·萨瑟兰 , 李诚儒 , 张涵予 , 傅彪
我不是潘金莲‎ (2016), 范冰冰 , 郭涛 , 大鹏 , 张嘉译 , 于和伟 , 张译 , 李宗翰 , 赵立新
非诚勿扰2‎ (2010), 葛优 , 舒淇 , 孙红雷 , 姚晨 , 安以轩 , 邵兵 , 廖凡 , 邬逸聪
私人订制‎ (2013), 葛优 , 白百何 , 李小璐 , 郑恺 , 范伟 , 宋丹丹 , 李诚儒 , 苗圃
夜宴‎ (2006), 章子怡 , 葛优 , 吴彦祖 , 周迅 , 马精武 , 黄晓明 , 周中和 , 曾秋生
手机‎ (2003), 张国立 , 葛优 , 范冰冰 , 徐帆 , 韩童生 , 黄素影 , 杨欣 , 张涵予
不见不散‎ (1998), 葛优 , 徐帆
没完没了‎ (1999), 葛优 , 吴倩莲 , 傅彪 , 徐帆 , 刘蓓 , 刘威 , 韩童生 , 秦焰
一声叹息‎ (2000), 张国立 , 刘蓓 , 徐帆 , 傅彪 , 李诚儒 , 吴旭 , 修宗迪 , 高明
一地鸡毛‎ (1995), 陈道明 , 徐帆 , 修宗迪 , 张瞳 , 周国治 , 徐秀林 , 钟萍 , 葛存壮
手机2‎ (2020), 葛优 , 范冰冰 , 张国立 , 徐帆 , 范伟
永失我爱‎ (1994), 徐帆 , 郭涛 , 剧雪
月亮背面‎ (1997), 徐帆 , 冯远征 , 修宗迪 , 叶京 , 梁丹妮 , 马玉良 , 秦焰
跪族‎ (2007), 范伟
情殇‎ (1995), 赵宝刚 , 温海涛 , 徐帆 , 刘小宁

